tag,名称,时代,详细年代,类别,进阶类别,尺寸,材质,外观形式,工艺,主题,位置,标签,产地,来源,原名,风格流派,款识印记,题跋,文字释文,作者
photo_030,白釉蓝彩开光狮纹盘,其他,17世纪,陶器,日用品,口径 34.5 厘米,陶,盘,彩绘,建筑、狮子、花卉、人物、器具、花边,陶瓷与中外交流专题馆,陶 17世纪 日用品 盘 荷兰代尔夫特 彩绘 建筑 狮子 花卉 人物 器具 花边,荷兰代尔夫特,,,,,,,
photo_031,广彩徽章纹盘,清,乾隆,瓷器,日用品,口径 23.1 厘米,瓷,盘,广彩,花卉、符号、文字,陶瓷与中外交流专题馆,瓷 乾隆 日用品 盘 广东 广彩 花卉 符号 文字,广东,,,,,,,
photo_032,五彩花卉纹香料盒,清,乾隆,瓷器,日用品,高 8.4厘米 ，长 13.6厘米,瓷,盒,五彩,花卉,陶瓷与中外交流专题馆,瓷 乾隆 日用品 盒 景德镇窑 五彩 花卉,景德镇窑,,,,,,,
photo_033,白釉红蓝彩花卉纹盘,其他,18世纪,瓷器,日用品,口径 22.2 厘米,瓷,盘,描金、青花红彩,花卉、蝴蝶、鸟,陶瓷与中外交流专题馆,瓷 18世纪 日用品 盘 意大利多西亚 描金 青花红彩 花卉 蝴蝶 鸟,意大利多西亚,,,,,,,
photo_034,青花红彩描金花卉纹盘,清,康熙,瓷器,日用品,口径 31.2 厘米,瓷,盘,青花红彩、描金、,花卉、蝴蝶,陶瓷与中外交流专题馆,瓷 康熙 日用品 盘 景德镇窑 青花红彩 描金 花卉 蝴蝶,景德镇窑,,,,,,,
photo_035,彩陶几何网格纹壶,新石器时代,马家窑文化半山类型,陶器,日用品,高 30.3 厘米，口径 16.2 厘米，底径 11.6 厘米,陶,壶,彩绘,网纹,中国古代陶瓷馆,陶 马家窑文化半山类型 日用品 壶 甘肃 彩绘 网纹,甘肃,,马家窑文化半山类型彩陶网纹双系壶,,,,,
photo_036,黑陶刻纹盖罐,新石器时代,崧泽文化,陶器,日用品,通高 26.2 厘米，口径 15.2 厘米,陶,罐,刻划,几何纹,中国古代陶瓷馆,陶 崧泽文化 日用品 罐 青浦 刻划 几何纹,青浦,上海市青浦区崧泽遗址59号墓出土,崧泽文化黑陶刻纹盖罐,,,,,
photo_037,白陶刻纹尊,商,商晚期,陶器,礼器,,陶,尊,印花,勾连雷纹,中国古代陶瓷馆,陶 商晚期 礼器 尊 印花 勾连雷纹,,叶叔重捐赠,,,,,勾连纹、雷纹、兽面纹、龙,
photo_038,印纹陶方格纹曲柄罐,战国,,陶器,日用品,连把高 12.2 厘米，口径 8.3 厘米,陶,罐,印花,几何纹,中国古代陶瓷馆,陶 日用品 罐 印花 几何纹,,上海市金山区戚家墩遗址出土,印纹陶把杯,,,,,
photo_039,青釉刻花莲瓣纹四系罐,南北朝,北齐,瓷器,日用品,高 16.7 厘米，口径 6.5 厘米，底径 9 厘米,瓷,罐,青釉,莲花,中国古代陶瓷馆,瓷 北齐 日用品 罐 青釉 莲花,,,青釉刻莲瓣纹四系罐,,,,,
photo_040,黑陶划花飞鹿纹壶,南北朝,北魏,陶器,日用品,高 40 厘米，口径 19.6 厘米，底径 11 厘米,陶,壶,划花、贴花,鹿、莲瓣纹、几何纹,中国古代陶瓷馆,陶 北魏 日用品 壶 划花 贴花 鹿 莲瓣纹 几何纹,,李浩捐赠,,,,,,
photo_041,青花缠枝花卉纹洗,明,永乐,瓷器,日用品,高 12.0厘米 ，口径 26.1厘米 ，底径 18.1厘米,瓷,洗,青花,缠枝纹、水波纹、花边,陶瓷与中外交流专题馆,瓷 永乐 日用品 洗 景德镇窑 青花 缠枝纹 水波纹 花边,景德镇窑,,景德镇窑青花缠枝花卉纹洗,,,,,
photo_042,青花几何花卉纹卧壶,明,永乐,瓷器,日用品、陈列/观赏品,高 39.1厘米 ，口径 6.2厘米 ，腹径 39.0厘米,瓷,扁壶,青花,几何纹、缠枝纹、花卉,陶瓷与中外交流专题馆,瓷 永乐 日用品 陈列/观赏品 扁壶 景德镇窑 青花 几何纹 缠枝纹 花卉,景德镇窑,,景德镇窑青花缠枝莲纹卧壶,,,,,
photo_043,青花花卉纹八方烛台,明,永乐、宣德,瓷器,日用品,高 29.8厘米 ，口径 8.7厘米 ，底径 21.8厘米,瓷,烛台,青花,花卉、草叶,陶瓷与中外交流专题馆,瓷 永乐 宣德 日用品 烛台 景德镇窑 青花 花卉 草叶,景德镇窑,,景德镇窑青花花卉纹八角烛台,,,,,
photo_044,青花缠枝花卉纹扁壶,明,永乐,瓷器,日用品,高 45.1厘米 ，口径 8.3厘米 ，足纵 9.6厘米 ，足横 14.4厘米,瓷,扁壶,青花,缠枝纹、花卉,陶瓷与中外交流专题馆,瓷 永乐 日用品 扁壶 景德镇窑 青花 缠枝纹 花卉,景德镇窑,,景德镇窑青花缠枝花卉纹扁壶,,,,,
photo_045,青花凤穿花卉纹盘,明,弘治 、 正德,瓷器,日用品,高 6.2厘米， 口径 32.2厘米， 足径 19.5厘米,瓷,盘,青花,莲花、缠枝纹、凤、锦地,陶瓷与中外交流专题馆,瓷 弘治<span> </span>正德 日用品 盘 景德镇窑 青花 莲花 缠枝纹 凤 锦地,景德镇窑,,景德镇窑青花缠枝莲双凤纹盘,,,,,
photo_046,青花缠枝花卉莲池纹大碗,明,弘治、正德,瓷器,日用品,高 12.5厘米 ，口径 32.2厘米 ，足径 15.4厘米,瓷,碗,青花,池塘、一把莲、牡丹、缠枝纹、花边,陶瓷与中外交流专题馆,瓷 弘治 正德 日用品 碗 景德镇窑 青花 池塘 一把莲 牡丹 缠枝纹 花边,景德镇窑,叙利亚,景德镇窑青花缠枝牡丹莲池纹碗,,,,,
photo_048,青花双凤纹盘,明,嘉靖,瓷器,日用品,高 6.2厘米 ，口径 30.1厘米 ，足径 17.9厘米,瓷,盘,青花,凤、杂宝,陶瓷与中外交流专题馆,瓷 嘉靖 日用品 盘 景德镇窑 青花 凤 杂宝,景德镇窑,叙利亚,景德镇窑青花双凤纹盘,,,,,
photo_049,青花葡萄牙王室徽章纹盘,明,正德 、 嘉靖,瓷器,日用品,高 6.0厘米 ，口径 29.0厘米 ，足径 19.3厘米,瓷,盘,青花,符号、狮子戏球,陶瓷与中外交流专题馆,瓷 正德<span> </span>嘉靖 日用品 盘 景德镇窑 青花 符号 狮子戏球,景德镇窑,,景德镇窑青花葡萄牙王室徽章纹盘,,,,,
